Datetime,fuel_output,fuel_demand,SBG(kWh)
2017-01-01 00:00:00,16715,13522,3193000
2017-01-01 01:00:00,16344,13117,3227000
2017-01-01 02:00:00,15942,12816,3126000
2017-01-01 03:00:00,15727,12605,3122000
2017-01-01 04:00:00,15653,12563,3090000
2017-01-01 05:00:00,15442,12544,2898000
2017-01-01 06:00:00,15497,12758,2739000
2017-01-01 07:00:00,15791,13065,2726000
2017-01-01 08:00:00,15634,13367,2267000
2017-01-01 09:00:00,15968,13644,2324000
2017-01-01 10:00:00,16117,13728,2389000
2017-01-01 11:00:00,16124,13555,2569000
2017-01-01 12:00:00,16090,13567,2523000
2017-01-01 13:00:00,16068,13441,2627000
2017-01-01 14:00:00,16223,13442,2781000
2017-01-01 15:00:00,16537,13926,2611000
2017-01-01 16:00:00,16804,14942,1862000
2017-01-01 17:00:00,18154,16279,1875000
2017-01-01 18:00:00,18275,16313,1962000
2017-01-01 19:00:00,17750,16018,1732000
2017-01-01 20:00:00,17720,15787,1933000
2017-01-01 21:00:00,17424,15275,2149000
2017-01-01 22:00:00,16852,14615,2237000
2017-01-01 23:00:00,16278,13847,2431000
2017-01-02 00:00:00,15700,13274,2426000
2017-01-02 01:00:00,15713,13020,2693000
2017-01-02 02:00:00,15390,12780,2610000
2017-01-02 03:00:00,15173,12669,2504000
2017-01-02 04:00:00,15201,12746,2455000
2017-01-02 05:00:00,15269,13027,2242000
2017-01-02 06:00:00,15676,13583,2093000
2017-01-02 07:00:00,15865,14408,1457000
2017-01-02 08:00:00,16356,14614,1742000
2017-01-02 09:00:00,16268,14630,1638000
2017-01-02 10:00:00,16395,14535,1860000
2017-01-02 11:00:00,16929,14501,2428000
2017-01-02 12:00:00,16920,14509,2411000
2017-01-02 13:00:00,16871,14528,2343000
2017-01-02 14:00:00,16853,14879,1974000
2017-01-02 15:00:00,17072,15462,1610000
2017-01-02 16:00:00,17561,16443,1118000
2017-01-02 17:00:00,18643,17711,932000
2017-01-02 18:00:00,18622,17411,1211000
2017-01-02 19:00:00,18950,17173,1777000
2017-01-02 20:00:00,18563,16782,1781000
2017-01-02 21:00:00,17663,16310,1353000
2017-01-02 22:00:00,17028,15439,1589000
2017-01-02 23:00:00,15828,14325,1503000
2017-01-03 00:00:00,15720,13642,2078000
2017-01-03 01:00:00,15653,13302,2351000
2017-01-03 02:00:00,15983,13050,2933000
2017-01-03 03:00:00,15463,12983,2480000
2017-01-03 04:00:00,15606,13044,2562000
2017-01-03 05:00:00,16012,13552,2460000
2017-01-03 06:00:00,16449,14737,1712000
2017-01-03 07:00:00,16901,16068,833000
