Date,Hour,Fuel,Output
2017-01-01,1,NUCLEAR,11592
2017-01-01,1,GAS,234
2017-01-01,1,HYDRO,2455
2017-01-01,1,WIND,2433
2017-01-01,1,SOLAR,0
2017-01-01,1,BIOFUEL,1
2017-01-01,2,NUCLEAR,11591
2017-01-01,2,GAS,235
2017-01-01,2,HYDRO,2523
2017-01-01,2,WIND,1994
2017-01-01,2,SOLAR,0
2017-01-01,2,BIOFUEL,1
2017-01-01,3,NUCLEAR,11596
2017-01-01,3,GAS,234
2017-01-01,3,HYDRO,2464
2017-01-01,3,WIND,1647
2017-01-01,3,SOLAR,0
2017-01-01,3,BIOFUEL,1
2017-01-01,4,NUCLEAR,11610
2017-01-01,4,GAS,236
2017-01-01,4,HYDRO,2494
2017-01-01,4,WIND,1386
2017-01-01,4,SOLAR,0
2017-01-01,4,BIOFUEL,1
2017-01-01,5,NUCLEAR,11611
2017-01-01,5,GAS,235
2017-01-01,5,HYDRO,2476
2017-01-01,5,WIND,1330
2017-01-01,5,SOLAR,0
2017-01-01,5,BIOFUEL,1
2017-01-01,6,NUCLEAR,11611
2017-01-01,6,GAS,234
2017-01-01,6,HYDRO,2471
2017-01-01,6,WIND,1125
2017-01-01,6,SOLAR,0
2017-01-01,6,BIOFUEL,1
2017-01-01,7,NUCLEAR,11609
2017-01-01,7,GAS,235
2017-01-01,7,HYDRO,2516
2017-01-01,7,WIND,1136
2017-01-01,7,SOLAR,0
2017-01-01,7,BIOFUEL,1
2017-01-01,8,NUCLEAR,11610
2017-01-01,8,GAS,236
2017-01-01,8,HYDRO,2675
2017-01-01,8,WIND,1269
2017-01-01,8,SOLAR,0
2017-01-01,8,BIOFUEL,1
2017-01-01,9,NUCLEAR,11609
2017-01-01,9,GAS,236
2017-01-01,9,HYDRO,2672
2017-01-01,9,WIND,1095
2017-01-01,9,SOLAR,21
2017-01-01,9,BIOFUEL,1
2017-01-01,10,NUCLEAR,11609
2017-01-01,10,GAS,236
2017-01-01,10,HYDRO,2952
2017-01-01,10,WIND,1108
2017-01-01,10,SOLAR,62
2017-01-01,10,BIOFUEL,1
2017-01-01,11,NUCLEAR,11611
2017-01-01,11,GAS,235
2017-01-01,11,HYDRO,3070
2017-01-01,11,WIND,1103
2017-01-01,11,SOLAR,95
2017-01-01,11,BIOFUEL,3
2017-01-01,12,NUCLEAR,11604
2017-01-01,12,GAS,235
2017-01-01,12,HYDRO,3143
2017-01-01,12,WIND,1023
2017-01-01,12,SOLAR,116
2017-01-01,12,BIOFUEL,3
2017-01-01,13,NUCLEAR,11597
2017-01-01,13,GAS,235
2017-01-01,13,HYDRO,3212
2017-01-01,13,WIND,924
2017-01-01,13,SOLAR,121
2017-01-01,13,BIOFUEL,1
2017-01-01,14,NUCLEAR,11600
2017-01-01,14,GAS,235
2017-01-01,14,HYDRO,3243
2017-01-01,14,WIND,833
2017-01-01,14,SOLAR,156
2017-01-01,14,BIOFUEL,1
2017-01-01,15,NUCLEAR,11599
2017-01-01,15,GAS,233
2017-01-01,15,HYDRO,3326
2017-01-01,15,WIND,929
2017-01-01,15,SOLAR,135
2017-01-01,15,BIOFUEL,1
2017-01-01,16,NUCLEAR,11599
2017-01-01,16,GAS,236
2017-01-01,16,HYDRO,3557
2017-01-01,16,WIND,1081
2017-01-01,16,SOLAR,63
2017-01-01,16,BIOFUEL,1
2017-01-01,17,NUCLEAR,11600
2017-01-01,17,GAS,234
2017-01-01,17,HYDRO,4303
2017-01-01,17,WIND,657
2017-01-01,17,SOLAR,9
2017-01-01,17,BIOFUEL,1
2017-01-01,18,NUCLEAR,11610
2017-01-01,18,GAS,241
2017-01-01,18,HYDRO,5160
2017-01-01,18,WIND,1142
2017-01-01,18,SOLAR,0
2017-01-01,18,BIOFUEL,1
2017-01-01,19,NUCLEAR,11611
2017-01-01,19,GAS,235
2017-01-01,19,HYDRO,5272
2017-01-01,19,WIND,1155
2017-01-01,19,SOLAR,0
2017-01-01,19,BIOFUEL,2
2017-01-01,20,NUCLEAR,11607
2017-01-01,20,GAS,234
2017-01-01,20,HYDRO,4761
2017-01-01,20,WIND,1147
2017-01-01,20,SOLAR,0
2017-01-01,20,BIOFUEL,1
2017-01-01,21,NUCLEAR,11607
2017-01-01,21,GAS,235
2017-01-01,21,HYDRO,4833
2017-01-01,21,WIND,1044
2017-01-01,21,SOLAR,0
2017-01-01,21,BIOFUEL,1
2017-01-01,22,NUCLEAR,11600
2017-01-01,22,GAS,236
2017-01-01,22,HYDRO,4640
2017-01-01,22,WIND,947
2017-01-01,22,SOLAR,0
2017-01-01,22,BIOFUEL,1
2017-01-01,23,NUCLEAR,11599
2017-01-01,23,GAS,236
2017-01-01,23,HYDRO,4121
2017-01-01,23,WIND,895
2017-01-01,23,SOLAR,0
2017-01-01,23,BIOFUEL,1
2017-01-01,24,NUCLEAR,11596
2017-01-01,24,GAS,249
2017-01-01,24,HYDRO,3817
2017-01-01,24,WIND,615
2017-01-01,24,SOLAR,0
2017-01-01,24,BIOFUEL,1
2017-01-02,1,NUCLEAR,11600
2017-01-02,1,GAS,237
2017-01-02,1,HYDRO,3388
2017-01-02,1,WIND,474
2017-01-02,1,SOLAR,0
2017-01-02,1,BIOFUEL,1
2017-01-02,2,NUCLEAR,11612
2017-01-02,2,GAS,236
2017-01-02,2,HYDRO,3386
2017-01-02,2,WIND,478
2017-01-02,2,SOLAR,0
2017-01-02,2,BIOFUEL,1
2017-01-02,3,NUCLEAR,11604
2017-01-02,3,GAS,236
2017-01-02,3,HYDRO,2821
2017-01-02,3,WIND,728
2017-01-02,3,SOLAR,0
2017-01-02,3,BIOFUEL,1
2017-01-02,4,NUCLEAR,11612
2017-01-02,4,GAS,236
2017-01-02,4,HYDRO,2457
2017-01-02,4,WIND,867
2017-01-02,4,SOLAR,0
2017-01-02,4,BIOFUEL,1
2017-01-02,5,NUCLEAR,11610
2017-01-02,5,GAS,236
2017-01-02,5,HYDRO,2478
2017-01-02,5,WIND,876
2017-01-02,5,SOLAR,0
2017-01-02,5,BIOFUEL,1
2017-01-02,6,NUCLEAR,11608
2017-01-02,6,GAS,235
2017-01-02,6,HYDRO,2472
2017-01-02,6,WIND,953
2017-01-02,6,SOLAR,0
2017-01-02,6,BIOFUEL,1
2017-01-02,7,NUCLEAR,11613
2017-01-02,7,GAS,238
2017-01-02,7,HYDRO,2540
2017-01-02,7,WIND,1284
2017-01-02,7,SOLAR,0
2017-01-02,7,BIOFUEL,1
2017-01-02,8,NUCLEAR,11613
2017-01-02,8,GAS,238
2017-01-02,8,HYDRO,2760
2017-01-02,8,WIND,1251
2017-01-02,8,SOLAR,2
2017-01-02,8,BIOFUEL,1
2017-01-02,9,NUCLEAR,11610
2017-01-02,9,GAS,238
2017-01-02,9,HYDRO,2919
2017-01-02,9,WIND,1570
2017-01-02,9,SOLAR,18
2017-01-02,9,BIOFUEL,1
2017-01-02,10,NUCLEAR,11601
2017-01-02,10,GAS,238
2017-01-02,10,HYDRO,3114
2017-01-02,10,WIND,1247
2017-01-02,10,SOLAR,67
2017-01-02,10,BIOFUEL,1
2017-01-02,11,NUCLEAR,11599
2017-01-02,11,GAS,237
2017-01-02,11,HYDRO,3259
2017-01-02,11,WIND,1182
2017-01-02,11,SOLAR,117
2017-01-02,11,BIOFUEL,1
2017-01-02,12,NUCLEAR,11592
2017-01-02,12,GAS,237
2017-01-02,12,HYDRO,3608
2017-01-02,12,WIND,1374
2017-01-02,12,SOLAR,117
2017-01-02,12,BIOFUEL,1
2017-01-02,13,NUCLEAR,11580
2017-01-02,13,GAS,244
2017-01-02,13,HYDRO,4160
2017-01-02,13,WIND,828
2017-01-02,13,SOLAR,107
2017-01-02,13,BIOFUEL,1
2017-01-02,14,NUCLEAR,11571
2017-01-02,14,GAS,243
2017-01-02,14,HYDRO,4177
2017-01-02,14,WIND,785
2017-01-02,14,SOLAR,94
2017-01-02,14,BIOFUEL,1
2017-01-02,15,NUCLEAR,11572
2017-01-02,15,GAS,255
2017-01-02,15,HYDRO,4096
2017-01-02,15,WIND,891
2017-01-02,15,SOLAR,38
2017-01-02,15,BIOFUEL,1
2017-01-02,16,NUCLEAR,11599
2017-01-02,16,GAS,269
2017-01-02,16,HYDRO,4256
2017-01-02,16,WIND,939
2017-01-02,16,SOLAR,8
